Settlement ,URI,URI 2,Museum ,Museum number,Type,Material ,Technique,Gender,Part of,shape,Iconography,Clothes ,Culture Museum Atribution,Date,Period,Heigh ,width,Depth ,Length,Diameter ,weight,Inscription,Language,Find spot,Description,Hair,Function,Reasoned classification,Bibliograhy ,Pleiades URI,URI 3
Basilippo,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MASE&musid=17&ninv=ROD5254&volver=portal&k=basilippo&tipoBusqueda=simple&lng=es,Museo Arqueologico de Sevilla,ROD5254,statue,Bronze,sculpted,Male,,body,Eros,,Roman ,151=200 (Segunda mitad s. II),Late Roman Empire,6,"2,1",,,,"39,3 gr",,,,"Figure of young boy, with wings in the back. Advance the right leg, on which supports the body, leaving the other in exonerated position. Extend the left arm forward, in the attitude of grabbing something with your hand. Long and abundant hair, arranged in large waves around the face, crowned with central nodus. The head turned in soft foreshortening to the right. Plump features, with marked cheeks, fleshy mouth, and large eyes. Modeling of well defined and naturalistic anatomical forms in chest, pubis and legs. Well finished surface, with traces of the smoothing process. Light green patina",,Private cult,,"FERNÁNDEZ CHICARRO Y DE DIOS, Concepción. ""Museo Arqueológico Provincial de Sevilla: Adquisiciones 1961"". \i1 Memorias de los Museos Arqueológicos Provinciales (1958-1961).\i0 1963. 19-22. pp. 154-155, nº 81, fig. 82. 

FLEISCHER, Robert. \i1 Die Römischen bronzen aus Österreich.\i0 Mainz am Rhein: Philipp von Zabern, 1967. p. 80, nº 92, taf. 52. 

ORIA SEGURA, Mercedes; ESCOBAR PÉREZ, Fernando. ""Dioses romanos en bronce de la Bética Occidental. Propuesta de interpretación"". En: Campos Carrasco, Juan Manuel (coord.); Pérez Macías, Juan Aurelio (coord.); Gómez Toscano, Francisco (coord.). \i1 Arqueología en el entorno del Bajo Guadiana. Encuentro Internacional de Arqueología del Suroeste (1. 1993. Huelva).\i0 Huelva: Universidad de Huelva, 1994. p. 456, nº 15, fig. 3, 15.",https://pleiades.stoa.org/places/256020,
Batora ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/265825,
Bora ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/265829,
Caepionis Turris ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/256038,
Caetaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/256103,
Calecula ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/260521,
Calecula ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/265835,
Callet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/256043,
Calpe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/256045,
Calpurniana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/265836,
Canania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/256048,
Carbula ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/256056,
Carissa Aurelia,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MCA&musid=2&ninv=CE09170&volver=portal&k=carissa%20aurelia&tipoBusqueda=simple&lng=es,Museo de Cádiz,CE09170,statue tomb,limestone,sculpted,,tomb,body,Lion,,Ibero-Roman,200[ac]=1[ac],Republic,"60,5","48,5",,97,,,,,,"Sculpture of invoice and rough finish, worked in stone that represents a seated lion, laying on its belly, supported on a rectangular platform. It is very affected by erosion. Is in the attitude of devouring a victim, possibly a bovid, cervid or equine, which holds with the right claw that makes prey on the head of the animal, and the left, which grips in its hindquarters. The proportions and details of the deer or equid are only worked on the right side of the neck and head, oval, elongated snout, robust jaw and swollen cheeks, round eye and lanceolate ear.
The head of the lion, which turns to its left, is touched by a mane that frames its face. It has a very wide snout, with a slightly open jaw and large, slightly almond-shaped eyes. There is no solution of continuity between the mane and the back of the feline, although this zone seems especially affected by erosion. The side to which the lion looks is the one that presents a more careful and meticulous size, leaving the forms on the opposite side barely sketched. The tail wraps around the upper third of the left hind leg. The front legs present a work with some detail of the claws of the animal",,Apotropaic,,"ARANEGUI GASCÓ, Carmen. \i1 ´Leones funerarios de época iberorromana. La serie asociada a cabezas humanas´.\i0 2004. p. 217; Actas de la IV Reunión sobre escultura romana en Hispania (Faculdade de Belas-Artes de Lisboa, Universidade de Lisboa; 7, 8 e 9 fevereiro 2002). 

BELTRÁN FORTES, José. \i1 ´Leones de piedra romanos de Las Cabezas de San Juan (Sevilla). A propósito de un nuevo ejemplar identificado´.\i0 2000. p. 439; Spal. 

PÉREZ LÓPEZ, Inmaculada. \i1 Leones romanos en Hispania.\i0 1999. p. 46-47; ´(...) Casi contoda seguridad se trata del ejemplar que Chapa cita como conservado, en el año 1962, en el Palacio de los Infantes de Orleans de Sanlúcar y cuyo paradero dió como desconocido´. Nº cat. 7
Aunque por ahora hay una ausencia de esculturas funerarias de leones en el ámbito turdetano del Bajo Guadalquivir (Beltrán 2000: 437
Pérez 1999: 22), el hecho es que los leones como el descrito aparecidos en época romana lo hacen en áreas coincidentes con focos antiguos de estas imágenes (el Alto Guadalquivir y la zona próxima del la cuenca baja del río). 
En el Bajo Guadalquivir el modelo iconográfico documentado es el del león, en este caso recostado sobre sus cuartos traseros, asociados a cabezas de animales como presas. Esculturas como ésta podrían haber funcionado como tapaderas de cista o podrían haber formado parte de monumentos funerarios de mayor entidad, situados en las esquinas de los remates de cubos elevados sobre podios, al estilo ítalo-romano (cfr. Pérez 1999: 28-31, fig. 18-20
en contra: Beltrán 2000: 441, nota 10). 
El hecho de que la gran mayoría de estas esculturas han aparecido descontextualizadas dificulta la datación de las mismas, que debe hacerse fundamentalmente en atención a criterios iconográficos, comparando en gran medida con los paralelos más conocidos del área itálica. Éstos apuntan a un arco relativamente amplio que discurre entre el siglo II a.C. (si tomamos en consideración el dudoso contexto del león de la necrópolis de Cádiz, nº inv. CE04585 - cfr. Pérez 1999: 28, 30, 34-35, fig. 19) y mediados del siglo I d.C. (Beltrán 2002: 242). Para el caso de los leones de Carissa Aurelia se propone una cronología centrada entre el siglo II a.C. y el cambio de Era (Pérez 1999: 32)",https://pleiades.stoa.org/places/256057,
Carissa Aurelia,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MASE&musid=17&ninv=DO7928&volver=portal&k=carissa%20aurelia&tipoBusqueda=simple&lng=es,Museo arqueologico de Sevilla ,DO7928,statue tomb,limestone,sculpted,,tomb,body,Lion,,Ibero-Roman,1st ct. BCE - 1st ct. CE,Republic- Early Empire,75,44,,140,,,,,,"Free-standing lion, carved in limestone of whitish hue. It is erect, looking slightly to the right. It has very marked cheekbones, rounded eyes, half-open jaws and an abundant mane formed by curved tufts filled with incisions. The snout keeps the nostrils and the grooves of the whiskers. The mane borders the face and the entire neck, and shows signs of fur at the start of the extremities. He has lost his legs, almost the entire tail and part of the lower jaw. Originally it was coated and polychrome",,Apotropaic,,"CHAPA BRUNET, Teresa. \i1 Influjos griegos en la escultura zoomorfa ibérica.\i0 Madrid: CSIC, 1986. P. 85, fig. 42.2. 

CHAPA BRUNET, Teresa. \i1 La escultura ibérica zoomorfa.\i0 Madrid: Ministerio de Cultura, 1985. P. 115. 

CHAPA BRUNET, Teresa. \i1 La escultura zoomorfa ibérica en piedra.\i0 1980. P. 658-661, fig. 4. 

FERNÁNDEZ CHICARRO Y DE DIOS, Concepción. ""Adquisiciones del Museo Arqueológico de Sevilla"". \i1 Bellas Artes.\i0 1974. 33. P. 31. 

FERNÁNDEZ CHICARRO Y DE DIOS, Concepción; FERNÁNDEZ GÓMEZ, Fernando. \i1 Catálogo del Museo Arqueológico de Sevilla (II). Salas de Arqueologia Romana y Medieval.\i0 Madrid: Ministerio de Cultura, 1980. P. 34, nº 16. 

PÉREZ LÓPEZ, Inmaculada. \i1 Leones romanos en Hispania.\i0 Madrid: Fundación de Estudios Romanos, 1999. P. 54-55.",https://pleiades.stoa.org/places/256057,
Carissa Aurelia,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MASE&musid=17&ninv=DO7929&volver=portal&k=carissa%20aurelia&tipoBusqueda=simple&lng=es,Museo arqueologico de Sevilla ,DO7929,statue tomb,limestone,sculpted,,tomb,body,Lion,,Ibero-Roman,1st ct. BCE - 1st ct. CE,Republic- Early Empire,79,44,,108,,,,,,"Free-standing lion, carved in white-gray limestone. He appears lying on a plinth, with his head facing to the right. The face is practically lost, but it is noticed that it kept its jaws open. The mane, which surrounds the head and the neck area, is made with curved tufts, in a fairly conventional way. The legs are sturdy, with indication of the fur on the right front. The back has the claw represented in great detail, indicating the fingers and phalanges. It has the tail rolled up, with the end deposited in the right rib. Originally it was coated and polychrome",,Apotropaic,,"CHAPA BRUNET, Teresa. \i1 La escultura ibérica zoomorfa.\i0 Madrid: Ministerio de Cultura, 1985. P. 115. 

CHAPA BRUNET, Teresa. \i1 La escultura zoomorfa ibérica en piedra.\i0 1980. P. 653-655, fig. 4. 

FERNÁNDEZ CHICARRO Y DE DIOS, Concepción. ""Adquisiciones del Museo Arqueológico de Sevilla"". \i1 Bellas Artes.\i0 1974. 33. P. 31. 

FERNÁNDEZ CHICARRO Y DE DIOS, Concepción; FERNÁNDEZ GÓMEZ, Fernando. \i1 Catálogo del Museo Arqueológico de Sevilla (II). Salas de Arqueologia Romana y Medieval.\i0 Madrid: Ministerio de Cultura, 1980. P. 34, nº 14. 

PÉREZ LÓPEZ, Inmaculada. \i1 Leones romanos en Hispania.\i0 Madrid: Fundación de Estudios Romanos, 1999. P. 56-57.",https://pleiades.stoa.org/places/256057,
Carissa Aurelia,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MASE&musid=17&ninv=DO7930&volver=portal&k=carissa%20aurelia&tipoBusqueda=simple&lng=es,Museo arqueologico de Sevilla ,DO7930,statue tomb,limestone,sculpted,,tomb,body,Lion,,Ibero-Roman,1st ct. BCE - 1st ct. CE,Republic- Early Empire,72,40,,130,,,,,,"Free-standing lion carved in marble limestone. He appears erect, with his head facing to the right. The face is very deteriorated, but it is noticed that it kept the jaws open. It has thick lips and smooth Moor. The mane, which surrounds the head and neck area, has two bodies
the first around the face, made with tufts made by emptying, and the rest with curved and pointed tufts, with the grooved surface. Presents the rolled tail, with its end resting on the back. He has lost his legs and a part of the left side. Originally it was coated and polychrome",,Apotropaic,,"CHAPA BRUNET, Teresa. \i1 Influjos griegos en la escultura zoomorfa ibérica.\i0 Madrid: CSIC, 1986. P. 84, nº 78. 

CHAPA BRUNET, Teresa. \i1 La escultura ibérica zoomorfa.\i0 Madrid: Ministerio de Cultura, 1985. P. 115. 

CHAPA BRUNET, Teresa. \i1 La escultura zoomorfa ibérica en piedra.\i0 1980. P. 651-653, fig. 4137. 

FERNÁNDEZ CHICARRO Y DE DIOS, Concepción. ""Adquisiciones del Museo Arqueológico de Sevilla"". \i1 Bellas Artes.\i0 1974. 33. P. 31. 

FERNÁNDEZ CHICARRO Y DE DIOS, Concepción; FERNÁNDEZ GÓMEZ, Fernando. \i1 Catálogo del Museo Arqueológico de Sevilla (II). Salas de Arqueologia Romana y Medieval.\i0 Madrid: Ministerio de Cultura, 1980. P. 30, nº 8. 

PÉREZ LÓPEZ, Inmaculada. \i1 Leones romanos en Hispania.\i0 Madrid: Fundación de Estudios Romanos, 1999. P. 58-59.
",https://pleiades.stoa.org/places/256057,
Carissa Aurelia,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MASE&musid=17&ninv=DO7931&volver=portal&k=carissa%20aurelia&tipoBusqueda=simple&lng=es,Museo arqueologico de Sevilla ,DO7931,statue tomb,limestone,sculpted,,tomb,body,Lion,,Ibero-Roman,1st ct. BCE - 1st ct. CE,Republic- Early Empire,29,34,,86,,,,,,"Figure exempt of lion, carved in limestone of grayish shade. It seems to be upright, although it does not keep its legs. The head, of great dimensions, looks towards the left, with the jaws unreached, showing the pointed canines. Keep the nostrils in the snout, and neither the eyes nor the ears are appreciated. The mane is arranged around the face and neck, based on tufts formed by parallel projections. A series of incisions mark the ribs and the muscles of the legs (double incised groove in the shape of ""V""). Its tail is rolled up, with the end resting on the left ridge. Originally it was coated and polychrome",,Apotropaic,,"CHAPA BRUNET, Teresa. \i1 Influjos griegos en la escultura zoomorfa ibérica.\i0 Madrid: CSIC, 1986. P. 85, fig. 42.1. 

CHAPA BRUNET, Teresa. \i1 La escultura ibérica zoomorfa.\i0 Madrid: Ministerio de Cultura, 1985. P. 115. 

CHAPA BRUNET, Teresa. \i1 La escultura zoomorfa ibérica en piedra.\i0 1980. P. 656, fig. 4139. 

FERNÁNDEZ CHICARRO Y DE DIOS, Concepción. ""Adquisiciones del Museo Arqueológico de Sevilla"". \i1 Bellas Artes.\i0 1974. 33. P. 31. 

FERNÁNDEZ CHICARRO Y DE DIOS, Concepción; FERNÁNDEZ GÓMEZ, Fernando. \i1 Catálogo del Museo Arqueológico de Sevilla (II). Salas de Arqueologia Romana y Medieval.\i0 Madrid: Ministerio de Cultura, 1980. P. 30, nº 4. 

PÉREZ LÓPEZ, Inmaculada. \i1 Leones romanos en Hispania.\i0 Madrid: Fundación de Estudios Romanos, 1999. P. 60-61.",https://pleiades.stoa.org/places/256057,
Carissa Aurelia,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MCA&musid=2&ninv=DJ23481&volver=portal&k=carissa%20aurelia&tipoBusqueda=simple&lng=es,Museo de Cádiz,DJ23481,female head,marble,sculpted,Female,body,head ,Female head ,,Roman,1- 50 CE,Early Empire,23,21,,,,,,,,"Fragment of sculpture representing the head of a young woman, with a serene and calm expression, soft, harmonious and natural features. It has a hairstyle with stripe in the middle, broad bands of lateral waves that would be collected in braids behind the ears and pigtail knotted at the nape, which in this case is not preserved. From ear to ear, on a short forehead, runs a row of very short tufts, acaracolados, finished on the temples in a group more nourished curls forming a pin. The eyes are large and almond-shaped, with well-marked eyelids, with no detail in the pupils. The nose is only partially preserved, although it appears straight and narrow on the tip, with well-drawn and proportioned nostrils. The mouth is closed, with thin lips and very sharp corners. The cheekbones are soft, as is the modeling of the jaw and chin, fragmented",,Decorative,,,https://pleiades.stoa.org/places/256057,
Carmo ,arachne.dainst.org/entity/1063892,http://www.juntadeandalucia.es/cultura/museos/CAC/index.jsp?redirect=S2_3_1_1Elementos.jsp&idpieza=1016,Conjunto Arqueológico de Carmona,,statue tomb,marble,sculpted,Male,tomb,body,Eros,,Roman ,1st ct. AD ,Claudian ,78,27,,,,,,,,"greasy child's body, soft face with snub nose and small child's mouth, hair in coarse soft strands, right hand angled raised, tree trunk support under right superior leg, back fully worked out.

Eros (?), Two holes indicate bow as an attribute.

The tomb of an approximately six-year-old boy is one of the most remarkable portrait features of the largest and most elaborate tomb of Carmona, measuring 34 x 38 m. In the same grave also the inscribed grave statue of Servilia was found in the type of the great Herculean and a very high-quality male portrait of the years around AD 40, in which one known from the inscription CIL II 5120 Praefectus of Caligula and Ouattuorvirn L. Servilius Polio wanted to recognize.
The child was undoubtedly an early-dead member of this family of the municipal aristocracy. In the portrayals of the portraits, which, moreover, are carried out with great powers of observation and sculptural skill, the infantile proportions of the body form a certain contrast to the expression of the facial features, which seem to indicate a somewhat later age.
The lanky hairstyle, which fits snugly in the head, with a fork over the left eye, in connection with the delicately flickered incarnate, suggests a date in Claudian times.",,tomb decoration,,"A. García y Bellido, AEArq31, 1958,, 206 Nr. 8
M. Bendala Galán, La Necrópolis Romana de Carmona (Sevilla) I, Publicaciones de la Excma. Diputación Provincial de Sevilla, Sección: Historia, Serie 1, 11 (Sevilla 1976), 76, Taf. 62.2",https://pleiades.stoa.org/places/256058,
